ISO Week,Te Ipu,Freshco,Green planet,Sunfruit,TotalBins,RABinsTippedC,RABinsTippedB,RABinsTippedA,RemainingRABinsC,RemainingRABinsB,RemainingRABinsA,CABinsTippedC,CABinsTippedB,CABinsTippedA,RemainingCABinsC,RemainingCABinsB,RemainingCABinsA,RemainingRABins,RABinsTipped
18,1560,378,0,0,1938,1895,0,0,0,0,0,0,0,0,0,0,0,0,
19,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,1300,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,1300,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,1040,0,0,540,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,1560,0,0,540,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,1560,0,0,540,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,1300,0,0,540,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,1560,0,0,540,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,1300,0,0,300,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,1300,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,1560,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,1514,0,0,0,1514,0,0,0,0,0,0,0,0,0,0,0,0,0,
